Cem dias entre ceu e mar;Companhia das letras;Amir Klink
O herói invisível;FTD;Luca Cognolato, Silvia del Francia e Maurício Santana Dias
Os Seis finalistas;Jangada;Alexandra Monir
Um Passeio Aleatório Por Wall Street;Editora Sextante;Burton G. Malkiel
O código da mente extraordinária;Figurati;Vishen Lakhiani
Mude Seus horários, mude sua vida;Editora Sextante;Suhas G. Kshirsagar
Os hábitos secretos dos gênios;Universo dos Livros;Craig Wright
Personal Branding;Integrare;Arthur Bender
Quem Pensa Enriquece;Citadel Editora;Napoleon Hill
O Príncipe;Camelot Editora;Nicolau Maquiavel
Sapiens;Companhia das Letras;Yuval Noah Harari
O Poder do Hábito;Objetiva;Charles Duhigg
O Mundo é Plano - Uma Breve História do Século XXI;Objetiva;Thomas L. Friedman
COmo Fazer Amigos e Influenciar Pessoas;Editora Sextante;Dale Carnegie
A Coragem de Ser Imperfeito;Editora Sextante;Brené Brown
Tudo que Você precisa Saber Sobre Economia;Gente;Alfred Mill
Mais Espero que o Diabo;Citadel Editora;Napoleon Hill
O milagre da manhã Para se Tornar um Milionario;BestSeller;Hal Elrod
O milagre da manhâ;BestSeller;Hal Elrod
Assassin's Creed Bandeira Negra;Galera;Oliver Bowden
Assassin's Creed Renegado;Galera;Oliver Bowden
Assassin's Creed Revelações;Galera;Oliver Bowden
Assassin's Creed A Cruzada Secreta;Galera;Oliver Bowden
Assassin's Creed Irmandade;Galera;Oliver Bowden
Assassin's Creed Renascença;Galera;Oliver Bowden
Assassin's Creed Unity;Galera;Oliver Bowden
Assassin's Creed Submundo;Galera;Oliver Bowden
O Diário de Anne Frank;Record;Anne Frank
O Cavaleiro Preso na Armadura;Record;Robert Fisher
Uma Dobra no Tempo;HarperCollings;Madeleine L'Engle
A Coragem de Ser Feliz;Editora Sextante;Ichiro Kishimi
Felicidade Crônica;L&PM;Martha Medeiros
Alexandre O Grande;HunterBooks Editora;Eduardo Almeida de Araújo
Napoleão Bonaparte;HunterBooks Editora;Eduardo Almeida de Araújo
Gêngis Khan;HunterBooks Editora;Eduardo Almeida de Araújo
O Caso dos exploradores de Caverna;HunterBooks Editora;Lon Fuller
Os Irmão Karamazov;Martin Claret;Fiódor Dostoiésvski
